"k";"noweight_Edges";"noweight_Edges_avg";"sum_weight_Edges";"weight_Edges";"noweight_Rels";"noweight_Rels_avg";"sum_weight_Rels";"weight_Rels";"noweight_Source";"noweight_Source_avg";"sum_weight_Source";"weight_Source_avg";"noweight_Concept";"noweight_Concept_avg";"sum_weight_Concept";"weight_Concept_avg"
100;35;2,86;184;1,84;40;2,5;221;2,21;37;2,7;211;2,11;41;2,44;195;1,95
200;56;3,57;277;1,38;67;2,99;318;1,59;64;3,12;332;1,66;69;2,9;321;1,6
300;77;3,9;355;1,18;85;3,53;395;1,32;83;3,61;385;1,28;86;3,49;369;1,23
400;92;4,35;403;1,01;95;4,21;410;1,02;94;4,26;419;1,05;103;3,88;416;1,04
500;105;4,76;430;0,86;106;4,72;444;0,89;103;4,85;438;0,88;109;4,59;441;0,88
600;112;5,36;444;0,74;115;5,22;456;0,76;116;5,17;468;0,78;116;5,17;453;0,76
700;118;5,93;463;0,66;130;5,38;497;0,71;124;5,65;488;0,7;127;5,51;473;0,68
800;124;6,45;472;0,59;136;5,88;505;0,63;131;6,11;498;0,62;133;6,02;482;0,6
900;132;6,82;482;0,54;142;6,34;511;0,57;135;6,67;504;0,56;139;6,47;497;0,55
1000;137;7,3;488;0,49;143;6,99;514;0,51;139;7,19;510;0,51;142;7,04;506;0,51
1100;144;7,64;515;0,47;147;7,48;520;0,47;142;7,75;514;0,47;146;7,53;511;0,46
1200;149;8,05;525;0,44;149;8,05;523;0,44;148;8,11;522;0,44;149;8,05;515;0,43
1300;149;8,72;525;0,4;152;8,55;528;0,41;150;8,67;524;0,4;152;8,55;522;0,4
1400;150;9,33;527;0,38;152;9,21;528;0,38;152;9,21;528;0,38;154;9,09;525;0,38
1500;154;9,74;533;0,36;153;9,8;531;0,35;154;9,74;532;0,35;154;9,74;525;0,35
1600;156;10,26;536;0,34;158;10,13;538;0,34;155;10,32;533;0,33;155;10,32;526;0,33
1700;156;10,9;536;0,32;162;10,49;544;0,32;157;10,83;537;0,32;157;10,83;535;0,31
1800;158;11,39;538;0,3;163;11,04;546;0,3;158;11,39;538;0,3;159;11,32;539;0,3
1900;159;11,95;539;0,28;163;11,66;546;0,29;158;12,03;538;0,28;163;11,66;547;0,29
2000;163;12,27;545;0,27;163;12,27;546;0,27;160;12,5;540;0,27;163;12,27;547;0,27
